import time: self [us] | cumulative | imported package
import time:      2450 |       9232 |         django.core.files.uploadhandler
import time:      9374 |       9374 |             html.entities
import time:      3776 |      13149 |           html
import time:      2441 |       2441 |           django.utils.datastructures
import time:      1999 |       1999 |             unicodedata
import time:     23266 |      23266 |               email
import time:      1692 |       1692 |               email._parseaddr
import time:      5490 |      30446 |             email.utils
import time:      4079 |      36523 |           django.utils.http
import time:     10089 |      62201 |         django.http.multipartparser
import time:      5742 |     174054 |       django.http.request
import time:      3443 |       3443 |         mimetypes
import time:      3556 |       3556 |           email.quoprimime
import time:      1723 |       1723 |           email.base64mime
import time:      2768 |       2768 |           email.errors
import time:      1494 |       1494 |               quopri
import time:      1951 |       3444 |             email.encoders
import time:      2384 |       5828 |           email.charset
import time:      4764 |      18636 |         email.header
import time:      3818 |       3818 |               email._policybase
import time:      3198 |       7016 |             email.feedparser
import time:     41144 |      48159 |           email.parser
import time:      5162 |       5162 |             email._encoded_words
import time:      1493 |       1493 |             email.iterators
import time:     67413 |      74067 |           email.message
import time:      9877 |     132102 |         http.client
import time:      7057 |       7057 |                   django.db.models.utils
import time:     10369 |      17426 |                 django.db.models.signals
import time:      4458 |       4458 |                       _uuid
import time:     11745 |      16203 |                     uuid
import time:      2108 |       2108 |                                         django.template.context
import time:     51230 |      51230 |                                             calendar
import time:      6862 |       6862 |                                             django.utils.dates
import time:       231 |        231 |                                                   _sysconfig
import time:     11539 |      11770 |                                                 zoneinfo._tzpath
import time:      1826 |       1826 |                                                 zoneinfo._common
import time:      1659 |       1659 |                                                 _zoneinfo
import time:     20301 |      35553 |                                               zoneinfo
import time:     17728 |      53280 |                                             django.utils.timezone
import time:      8206 |     119577 |                                           django.utils.dateformat
import time:      1958 |       1958 |                                           django.utils.numberformat
import time:      5246 |     126780 |                                         django.utils.formats
import time:      3255 |       3255 |                                             _markupbase
import time:      8545 |      11800 |                                           html.parser
import time:      1411 |       1411 |                                             django.utils.deconstruct
import time:      1775 |       1775 |                                             django.utils.ipv6
import time:      8645 |      11829 |                                           django.core.validators
import time:      2342 |       2342 |                                             gzip
import time:      4868 |       7210 |                                           django.utils.text
import time:     20947 |      51784 |                                         django.utils.html
import time:      2203 |       2203 |                                         django.template.exceptions
import time:      9383 |     192257 |                                       django.template.base
import time:      2125 |       2125 |                                       django.template.library
import time:     18911 |     213292 |                                     django.template.engine
import time:      1650 |       1650 |                                     django.template.utils
import time:      1091 |       1091 |                                         django.template.backends
import time:       911 |        911 |                                           django.utils._os
import time:      1803 |       2714 |                                         django.template.backends.base
